序560 ::::::G3-07874:䥕:𬭯:無異體
序561 :B05444:鐔:镡:鐔:一對未知:G2-06245:鐔:镡:無異體
序563 :B05477:钁:镢:钁:一對未知:G2-06246:鐝:镢:無異體
序565 :B05447:鐐:镣:鐐:一對未知:G2-06247:鐐:镣:無異體
序567 :B05453:鏷:镤:鏷:一對未知:G3-07938:鏷:镤:無異體
序569 ::::::G3-07941:鑥:镥:無異體
序570 :B05440:鐓:镦:鐓:一對未知:G2-06248:鐓:镦:無異體
序572 :B05470:鑭:镧:鑭:一對未知:G2-06249:鑭:镧:無異體
序574 :B05442:鐠:镨:鐠:一對未知:G3-07942:鐠:镨:無異體
序576 ::::::G2-06250:鑹:镩:無異體
序577 :B05431:鏹:镪:鏹:一對未知:G2-06251:鏹:镪:無異體
序579 :B05449:鐙:镫:鐙:一對未知:G2-06252:鐙:镫:無異體
序581 ::::::G2-06111:鐯:䦃:無異體
序582 ::::::G3-07873:鐄:𨱑:無異體
序583 ::::::G3-07944:鐏:𨱔:無異體
序584 ::::::G3-07940:鐇:𫔍:無異體
序585 ::::::G3-07946:鐍:𫔎:無異體
序586 ::::::G3-07937:𨭎:𬭳:無異體
序587 ::::::G3-07939:𨭆:𬭶:無異體
序588 ::::::G3-07943:鏻:𬭸:無異體
序589 :B05463:鑊:镬:鑊:一對未知:G2-06344:鑊:镬:無異體
序591 :A04353:鐳:镭:鐳:一簡對一:G2-06345:鐳:镭:無異體
序593 :B05459:鐶:镮:鐶:一對未知:G3-08003:鐶:镮:無異體
序595 :A04357:鐲:镯:鐲:一簡對一:G2-06346:鐲:镯:無異體
序597 :A04352:鐮:镰:鐮:一簡對一:G1-03444:鐮:镰:鎌䥥
序598 :B05411:鎌:镰:鎌:一對未知:G1-03444:鐮:镰:鎌䥥
序600 :B05457:鐿:镱:鐿:一對未知:G3-08004:鐿:镱:無異體
序602 ::::::G3-07945:鐩:𬭼:無異體
序603 ::::::G2-06397:鑔:镲:無異體
序604 :A04361:鑣:镳:鑣:一簡對一:G2-06435:鑣:镳:無異體
序606 ::::::G2-06436:鑞:镴:無異體
序607 :B05472:鑱:镵:鑱:一對未知:G2-06473:鑱:镵:無異體
序609 :A04363:鑲:镶:鑲:一簡對一:G1-03497:鑲:镶:無異體
序610 :B02681:瓖:镶:瓖:一對未知:G1-03497:鑲:镶:無異體
